package,n_services,n_versions,conflicting_pairs,versions
contextlib2,3,1,0,21.6.0:3
coverage,1,1,0,7.15.1:1
cramjam,2,1,0,2.11.0:2
crcmod,1,1,0,1.7:1
crcmod-plus,32,1,0,2.3.1:32
cryptography,33,1,0,49.0.0:33
cuda-python,1,1,0,12.1.0:1
cycler,17,1,0,0.12.1:17
darkdetect,1,1,0,0.8.0:1
datamol,1,1,0,0.12.5:1
datrie,1,1,0,0.8.3:1
deepdiff,1,1,0,6.3.0:1
deepspeed,1,1,0,0.16.4:1
defusedxml,2,1,0,0.7.1:2
dill,3,1,0,0.4.1:3
distlib,1,1,0,0.4.3:1
distributed,1,1,0,2026.7.1:1
distro,1,1,0,1.9.0:1
dm-haiku,1,1,0,0.0.12:1
dna_features_viewer,1,1,0,3.1.5:1
dnspython,1,1,0,2.8.0:1
docker,1,1,0,5.0.0:1
docker-pycreds,4,1,0,0.4.0:4
dockq,1,1,0,2.1.3:1
docutils,1,1,0,0.23:1
donfig,1,1,0,0.8.1.post1:1
dpath,1,1,0,2.2.0:1
dropbox,1,1,0,12.0.2:1
drughive,1,1,0,0.0.1:1
edgembar,1,1,0,3.0:1
edit-distance,1,1,0,1.0.7:1
eido,1,1,0,0.2.5:1
email-validator,1,1,0,2.3.0:1
esm,1,1,0,3.3.0:1
et_xmlfile,1,1,0,2.0.0:1
etils,1,1,0,1.14.0:1
fair-esm,4,1,0,2.0.0:4
fairscale,2,1,0,0.4.13:2
fasteners,2,1,0,0.20:2
fastjsonschema,2,1,0,2.21.2:2
filechunkio,1,1,0,1.8:1
fire,1,1,0,0.6.0:1
flatbuffers,1,1,0,25.12.19:1
flax,1,1,0,0.8.5:1
flexcache,1,1,0,0.3:1
flexparser,1,1,0,0.4:1
fqdn,1,1,0,1.5.1:1
freesasa,3,1,0,2.2.1:3
freetype-py,5,1,0,2.3.0:5
frozendict,2,1,0,2.4.7:2
ftputil,1,1,0,5.1.0:1
future,1,1,0,1.0.0:1
gast,1,1,0,0.7.0:1
gcsfs,1,1,0,2026.7.0:1
genie3,1,1,0,0.0.1:1
gitdb,8,1,0,4.0.12:8
gmx_MMPBSA,1,1,0,0+untagged.2143.g27929e0:1
google-api-core,2,1,0,2.31.0:2
google-api-python-client,1,1,0,2.198.0:1
google-auth-httplib2,1,1,0,0.4.0:1
google-auth-oauthlib,1,1,0,1.4.0:1
google-cloud-core,2,1,0,2.6.0:2
google-cloud-storage-control,1,1,0,1.12.0:1
google-crc32c,2,1,0,1.8.0:2
google-pasta,1,1,0,0.2.0:1
googleapis-common-protos,2,1,0,1.75.0:2
gpustat,2,1,0,1.1.1:2
graphviz,2,1,0,0.21:2
greenlet,7,1,0,3.5.3:7
grpc-google-iam-v1,1,1,0,0.14.4:1
h11,34,1,0,0.16.0:34
h2,9,1,0,4.3.0:9
hf-xet,5,1,0,1.5.1:5
hjson,1,1,0,3.1.0:1
hpack,9,1,0,4.2.0:9
httpcore,34,1,0,1.0.9:34
httplib2,1,1,0,0.32.0:1
httptools,34,1,0,0.8.0:34
httpx,34,1,0,0.28.1:34
httpx-sse,32,1,0,0.4.3:32
humanfriendly,1,1,0,10.0:1
humanize,1,1,0,4.16.0:1
hydra-submitit-launcher,1,1,0,1.2.0:1
hydride,1,1,0,1.2.3:1
hyperframe,9,1,0,6.1.0:9
hyperopt,1,1,0,0.2.7:1
iSIM,1,1,0,15.0.0:1
identify,1,1,0,2.6.19:1
imagecodecs,1,1,0,2023.1.23:1
imageio,1,1,0,2.37.0:1
importlib_metadata,5,1,0,9.0.0:5
importlib_resources,4,1,0,7.1.0:4
intake,1,1,0,2.0.9:1
intake-parquet,1,1,0,0.3.0:1
invoke,1,1,0,3.0.3:1
ipython_pygments_lexers,2,1,0,1.1.1:2
isoduration,1,1,0,20.11.0:1
ittapi,7,1,0,1.2.1:7
jenkspy,1,1,0,0.4.1:1
jinxed,1,1,0,2.0.4:1
jmespath,3,1,0,1.1.0:3
jmp,1,1,0,0.0.4:1
jsonpointer,1,1,0,3.1.1:1
jsonschema-specifications,32,1,0,2025.9.1:32
jupyter-events,2,1,0,0.12.1:2
jupyter_builder,1,1,0,1.0.2:1
jupyter_core,2,1,0,5.9.1:2
jupyter_server_terminals,2,1,0,0.5.4:2
jupyterlab_pygments,2,1,0,0.3.0:2
keras,1,1,0,3.15.0:1
lark,1,1,0,1.3.1:1
lazy-loader,1,1,0,0.5:1
legacy-cgi,2,1,0,2.6.4:2
libclang,1,1,0,18.1.1:1
lightdock,1,1,0,1.0.0rc2:1
lightgbm,1,1,0,4.6.0:1
lit,1,1,0,15.0.7:1
locket,2,1,0,1.0.0:2
logmuse,1,1,0,0.3.0:1
logomaker,1,1,0,0.8.7:1
loguru,1,1,0,0.7.3:1
lz4,1,1,0,4.4.5:1
markdown-it-py,8,1,0,4.2.0:8
markov-clustering,1,1,0,0.0.6.dev0:1
mcp,32,1,0,1.28.1:32
mda_xdrlib,4,1,0,0.2.0:4
mdurl,8,1,0,0.1.2:8
mhfp,2,1,0,1.9.6:2
mmpdb,1,1,0,2.1:1
mmtf-python,3,1,0,1.1.3:3
molfeat,1,1,0,0.11.0:1
mordredcommunity,2,1,0,2.0.7:2
mpi4py,1,1,0,3.1.5:1
mrcfile,3,1,0,1.5.4:3
msgpack-numpy,1,1,0,0.4.8:1
multiprocess,2,1,0,0.70.19:2
munkres,10,1,0,1.1.4:10
mypy_extensions,1,1,0,1.1.0:1
namex,1,1,0,0.1.0:1
nbclient,2,1,0,0.11.0:2
ndfes,1,1,0,3.0:1
nepare,1,1,0,0.0.0a0:1
nest-asyncio,2,1,0,1.6.0:2
nest-asyncio2,1,1,0,1.7.2:1
nodeenv,1,1,0,1.10.0:1
notebook_shim,2,1,0,0.2.4:2
numcodecs,1,1,0,0.16.5:1
nvidia-cublas,3,1,0,13.1.1.3:3
nvidia-cuda-cupti,3,1,0,13.0.85:3
nvidia-cuda-nvcc-cu12,1,1,0,12.3.107:1
nvidia-cuda-nvrtc,3,1,0,13.0.88:3
nvidia-cuda-runtime,3,1,0,13.0.96:3
nvidia-cudnn-cu13,3,1,0,9.20.0.48:3
nvidia-cufft,3,1,0,12.0.0.61:3
nvidia-cufile,3,1,0,1.15.1.6:3
nvidia-curand,3,1,0,10.4.0.35:3
nvidia-cusolver,3,1,0,12.0.4.66:3
nvidia-cusparse,3,1,0,12.6.3.3:3
nvidia-cusparselt-cu13,3,1,0,0.8.1:3
nvidia-nccl-cu13,3,1,0,2.29.7:3
nvidia-nvjitlink,3,1,0,13.0.88:3
nvidia-nvshmem-cu13,3,1,0,3.4.5:3
nvidia-nvtx,3,1,0,13.0.85:3
oauth2client,1,1,0,4.1.3:1
oauthlib,1,1,0,3.3.1:1
olefile,2,1,0,0.47:2
openadmet-models,1,1,0,1+unknown:1
openbabel-wheel,1,1,0,3.1.1.21:1
openff-models,1,1,0,0.1.2:1
openff-nagl,1,1,0,0.0.0:1
openff-nagl-models,1,1,0,2025.9.0:1
openfold,1,1,0,1.0.0:1
