repo	relpath	line	matched_patterns	text
ODesign	requirements.txt	128	nvidia	nvidia-cusparse-cu12==12.1.0.106
ODesign	requirements.txt	129	nvidia	nvidia-ml-py==12.570.86
ODesign	requirements.txt	130	nvidia	nvidia-nccl-cu12==2.20.5
ODesign	requirements.txt	131	nvidia	nvidia-nvjitlink-cu12==12.1.105
ODesign	requirements.txt	132	nvidia	nvidia-nvtx-cu12==12.1.105
PXDesign	README.md	50	cuda	PXDesign involves complex models and custom CUDA kernels. We **strongly recommend** the Web Server as the fastest, most stable, and most user-friendly way to use PXDesign:
PXDesign	README.md	52	gpu_requirement	- **Zero Setup**: No installation, no GPU required, no environment debugging.
PXDesign	README.md	115	cuda	2. Install **PyTorch** matching your specified CUDA version
PXDesign	README.md	126	cuda	--cuda-version <ver>   CUDA version string, e.g. 12.1, 12.2, 12.4
PXDesign	README.md	133	cuda	bash -x install.sh --env pxdesign --pkg_manager conda --cuda-version 12.1
PXDesign	README.md	230	datacenter_gpu	> For runs on modern GPUs (e.g., A100/H100), we recommend the BF16 precision and kernel optimizations by setting `--dtype bf16 --use_fast_ln True --use_deepspeed_evo_attention True`. <br>
PXDesign	README.md	231	datacenter_gpu	> If you are running on older GPUs (e.g., V100), you may set `--dtype fp32 --use_deepspeed_evo_attention False`.
PXDesign	README.md	417	datacenter_gpu	> For most production runs on modern GPUs (e.g., A100/H100), we recommend the **Full Pipeline Extended Mode** with BF16 precision and kernel optimizations.
PXDesign	README.md	474	datacenter_gpu	| `--dtype` | `bf16` | Controls numerical precision.<br>🔹 `bf16` is recommended on modern GPUs (e.g., A100/H100)<br>for faster speed and lower memory.<br>🔹 `fp32` may be preferred for debugging or on older hardware.<br> |
PXDesign	README.md	476	nvidia	| `--use_deepspeed_evo_attention` | `False` | Enables DeepSpeed Evo attention kernels (Protenix only).<br>🔹 This kernel is only used by the Protenix filter.<br>🔹 NVIDIA CUTLASS (v3.5.1) is required and is expected at `${CUTLASS_PATH:-$HOME/cutlass}`|
PXDesign	requirements.txt	22	nvidia	nvidia-cublas-cu12
PocketXMol	README.md	37	cuda	Using conda to create the environment. For CUDA 11.7, use the provided `environment.yml`:
PocketXMol	README.md	63	cuda	--device cuda:0
