package,n_services,n_versions,conflicting_pairs,versions
xcb-util-image,1,1,0,0.4.0:1
xcb-util-keysyms,1,1,0,0.4.1:1
xcb-util-renderutil,1,1,0,0.3.10:1
xcb-util-wm,1,1,0,0.4.2:1
xkeyboard-config,1,1,0,2.44:1
xorg-fixesproto,1,1,0,5.0=h7f98852_1002:1
xorg-kbproto,3,1,0,1.0.7=h7f98852_1002:3
xorg-libxdamage,1,1,0,1.1.6:1
xorg-libxxf86vm,1,1,0,1.1.6:1
xorg-renderproto,3,1,0,0.11.1=h7f98852_1002:3
xorg-xextproto,3,1,0,7.3.0=h0b41bf4_1003:3
xorg-xorgproto,1,1,0,2024.1:1
xorg-xproto,3,1,0,7.0.31=h7f98852_1007:3
xtb,1,1,0,6.7.1=hd37a5e2_3:1
xz-gpl-tools,1,1,0,5.8.1:1
xz-tools,1,1,0,5.8.1:1
