package,n_services,n_versions,conflicting_pairs,versions
pyzmq,5,5,10,26.0.3=py38ha44f8e3_0:1|26.2.0=py310h71f11fc_2:1|26.0.3:1|27.1.0:1|25.1.2:1
torchaudio,5,5,10,2.2.0=py310_cu121:1|2.3.1:1|2.3.1+cu121:1|*:1|2.2.2:1
libffi,7,2,10,3.4.2=h7f98852_5:5|3.4.4:2
e3nn,5,4,9,"0.3.3:2|==0.5.0,==0.5.1:1|0.5.6:1|==0.5.1,==0.3.3:1"
expat,5,4,9,2.6.2=h59595ed_0:2|2.4.9:1|2.5.0=hcb278e6_1:1|2.7.0:1
fsspec,5,4,9,2024.6.1:2|2024.2.0=pyhca7485f_0:1|2024.6.1=pyhff2d567_0:1|2024.3.1:1
huggingface_hub,5,4,9,*:2|0.24.0:1|0.36.0:1|0.23.0:1
icu,5,4,9,73.2=h59595ed_0:2|69.1=h9c3ff4c_0:1|58.2:1|75.1:1
jupyter_core,5,4,9,5.7.2:2|5.7.2=py38h578d9bd_0:1|5.7.2=pyh31011fe_1:1|5.9.1:1
krb5,5,4,9,1.21.3=h659f571_0:2|1.21.2=h659d440_0:1|1.20.1:1|1.21.3:1
libpng,5,4,9,1.6.43=h2797004_0:2|1.6.39:1|1.6.42=h2797004_0:1|1.6.49:1
protobuf,5,4,9,3.20.2:2|4.25.2:1|5.27.2:1|4.25.3:1
py3dmol,5,4,9,2.4.2:2|*:1|>=2.5.2:1|2.2.1:1
pydantic,5,4,9,"2.10.6:2|2.8.2:1|>=2,<3:1|*:1"
pyg-lib,5,4,9,*:2|0.4.0+pt27cu126:1|0.4.0+pt23cu121:1|0.4.0+pt22cu121:1
torch-geometric,5,4,9,2.6.1:2|2.2.0:1|2.7.0:1|2.5.2:1
zipp,5,4,9,3.18.1:2|3.11.0:1|3.20.2=pyhd8ed1ab_0:1|3.19.2:1
libnsl,6,3,9,2.0.1=hd590300_0:4|2.0.1:1|2.0.0=h7f98852_0:1
openbabel,6,3,9,3.1.1:4|>=3.2.0:1|3.1.1.1:1
gitpython,5,3,8,3.1.43:2|3.1.44:2|3.1.41:1
libblas,5,3,8,3.9.0=22_linux64_openblas:2|3.9.0=16_linux64_mkl:2|3.9.0=14_linux64_openblas:1
libcblas,5,3,8,3.9.0=22_linux64_openblas:2|3.9.0=16_linux64_mkl:2|3.9.0=14_linux64_openblas:1
liblapack,5,3,8,3.9.0=22_linux64_openblas:2|3.9.0=16_linux64_mkl:2|3.9.0=14_linux64_openblas:1
comm,6,2,8,0.2.2:4|0.2.2=pyhd8ed1ab_0:2
pexpect,6,2,8,4.9.0:4|4.9.0=pyhd8ed1ab_0:2
ptyprocess,6,2,8,0.7.0:4|0.7.0=pyhd3deb0d_0:2
stack_data,6,2,8,0.6.3:4|0.6.2=pyhd8ed1ab_0:2
wcwidth,6,2,8,0.2.13:4|0.2.13=pyhd8ed1ab_0:2
fontconfig,5,3,7,2.14.2=h14ed4e7_0:3|2.14.1:1|2.15.0:1
freetype,5,3,7,2.12.1=h267a509_2:3|2.12.1:1|2.13.3:1
